gender,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,sum_click,weighted_score
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.00795426298782,0.7791935483870968
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0099842571878366,0.7586868686868686
0.0,0.25,1.0,0.5,1.0,0.0,0.05,0.0181456624409644,0.7425
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0240699312287679,0.810609756097561
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0256027839920457,0.7356122448979592
0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01723423647361,0.6782716049382717
0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.011268539232745,0.6043548387096774
0.0,0.75,1.0,0.5,0.0,0.0,0.05,0.0328113348247576,0.6267326732673267
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0195956582981191,0.8776
0.0,0.25,0.0,0.5,0.0,0.0,0.05,0.0219570801226282,0.7446341463414634
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.031734195045157,0.5024752475247525
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0232413621675366,0.8995000000000001
0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0380313199105145,0.8336
0.0,0.25,0.0,0.0,1.0,0.0,0.05,0.0049299859143259,0.6857575757575758
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.1889551744137874,0.7392
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.15,0.0044328444775872,0.6225
0.0,0.25,0.0,0.5,1.0,0.0,0.05,0.0413041677023779,0.6979268292682927
0.0,0.5,1.0,0.0,0.0,0.3333333333333333,0.05,0.0184770900654569,0.8549
0.0,0.75,0.0,0.0,0.0,0.0,0.05,0.0148313861960394,0.6315
0.0,0.75,0.0,0.5,0.0,0.1666666666666666,0.05,0.0094042588449747,0.675
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0047228436490181,0.7898780487804877
0.0,0.25,1.0,0.5,0.0,0.0,0.1666666666666666,0.0187256607838263,0.6726000000000001
0.0,0.5,0.0,0.5,0.0,0.0,0.05,0.0087828320490512,0.873
0.0,1.0,0.0,0.5,0.0,0.0,0.075,0.019512801391996,0.8234999999999999
0.0,0.75,0.0,0.5,1.0,0.0,0.15,0.0942911591681166,0.7243999999999999
0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.02121136796752,0.6218
0.0,0.5,0.0,0.5,0.0,0.0,0.05,0.0894854586129754,0.6099009900990099
0.0,0.25,1.0,0.0,0.0,0.1666666666666666,0.15,0.0079956914408815,0.7765116279069767
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.1176982351478995,0.6991089108910892
0.0,0.25,0.0,0.5,0.0,0.0,0.05,0.0729140773883503,0.6194059405940594
0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0173999502858563,0.7184999999999999
1.0,0.75,0.0,0.0,0.0,0.0,0.15,0.0060899826000497,1.0
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0134228187919463,0.7885185185185185
